N;m;topology;exact.m;force.connected;negpro;pw_ba;p_ws;minpcor;maxpcor;maxiter1;maxiter2;maxiter3;N2;method_assign;pwr;shape1;shape2;n;furthersharedvar;rndvar;p;keeporig;around;method
5;17;BA;FALSE;TRUE;0;1;;0,1;0,3;50;1000;50;30;beta;;0,1;1;1000;0;0,5;0,9;TRUE;5;average
5;17;BA;FALSE;TRUE;0;1;;0,1;0,3;50;1000;50;30;beta;;0,1;1;1000;0,5;0,5;0,9;TRUE;5;average
5;17;BA;FALSE;TRUE;0;1;;0,1;0,3;50;1000;50;30;beta;;0,1;1;1000;1;0,5;0,9;TRUE;5;average
5;17;BA;FALSE;TRUE;0;1;;0,1;0,3;50;1000;50;30;unif;;0,1;1;1000;0;0,5;0,9;TRUE;5;average
5;17;BA;FALSE;TRUE;0;1;;0,1;0,3;50;1000;50;30;unif;;0,1;1;1000;0,5;0,5;0,9;TRUE;5;average
5;17;BA;FALSE;TRUE;0;1;;0,1;0,3;50;1000;50;30;unif;;0,1;1;1000;1;0,5;0,9;TRUE;5;average
10;17;BA;FALSE;TRUE;0;1;;0,1;0,3;50;1000;50;30;beta;;0,1;1;1000;0;0,5;0,9;TRUE;5;average
10;17;BA;FALSE;TRUE;0;1;;0,1;0,3;50;1000;50;30;beta;;0,1;1;1000;0,5;0,5;0,9;TRUE;5;average
10;17;BA;FALSE;TRUE;0;1;;0,1;0,3;50;1000;50;30;beta;;0,1;1;1000;1;0,5;0,9;TRUE;5;average
10;17;BA;FALSE;TRUE;0;1;;0,1;0,3;50;1000;50;30;unif;;0,1;1;1000;0;0,5;0,9;TRUE;5;average
10;17;BA;FALSE;TRUE;0;1;;0,1;0,3;50;1000;50;30;unif;;0,1;1;1000;0,5;0,5;0,9;TRUE;5;average
10;17;BA;FALSE;TRUE;0;1;;0,1;0,3;50;1000;50;30;unif;;0,1;1;1000;1;0,5;0,9;TRUE;5;average
15;17;BA;FALSE;TRUE;0;1;;0,1;0,3;50;1000;50;30;beta;;0,1;1;1000;0;0,5;0,9;TRUE;5;average
15;17;BA;FALSE;TRUE;0;1;;0,1;0,3;50;1000;50;30;beta;;0,1;1;1000;0,5;0,5;0,9;TRUE;5;average
15;17;BA;FALSE;TRUE;0;1;;0,1;0,3;50;1000;50;30;beta;;0,1;1;1000;1;0,5;0,9;TRUE;5;average
15;17;BA;FALSE;TRUE;0;1;;0,1;0,3;50;1000;50;30;unif;;0,1;1;1000;0;0,5;0,9;TRUE;5;average
15;17;BA;FALSE;TRUE;0;1;;0,1;0,3;50;1000;50;30;unif;;0,1;1;1000;0,5;0,5;0,9;TRUE;5;average
15;17;BA;FALSE;TRUE;0;1;;0,1;0,3;50;1000;50;30;unif;;0,1;1;1000;1;0,5;0,9;TRUE;5;average
